#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x

EVTDESC_america_pilgrim_101;You have been invited to join [From.GetTitledFirstName] at [From.GetHerHis] Thanksgiving dinner this year. It is an occasion where theological debates are strictly prohibited in the name of peace and brotherhood.;;;;;;;;;;;;;x

EVTDESCancrel.0020;You have sent out summons to all of your vassals for the divination. Those that do not follow the true faith will have to offer gold to be exempted from this sacred ceremony.;Vous avez envoyé un avis de convocation à tous vos vassaux pour le blót. Ceux qui ont été baptisés ou qui affirment suivre l'enseignement du prophète devront offrir de l'or pour être exemptés de ce festin majestueux. ;Ihr habt all Eure Vasallen zum Blót zusammengerufen. Diejenigen, die getauft wurden oder den Lehren des Propheten folgen, müssen Gold anbieten, um von diesem großartigen Festschmaus fernbleiben zu können.;;Has enviado citaciones a todos tus vasallos para la mancha. Los que han sido bautizados o profesan seguir las enseñanzas del profeta tendrán que ofrecer oro para quedar exentos de esta magnífica fiesta.;;;;;;;;;x

falling_star_FEATURES;\n§Y*§! Are adherents of the ancient practice of Astrology.;;;;;;;;;;;;;x

TITLE_GAINED_RELIGIOUS_SETUP;New Cardinal appointed.;Nouveau cardinal nommé;Neuer Kardinal ernannt;;Nuevo cardenal nombrado.;;;;;;;;;x
TITLE_GAINED_RELIGIOUS_LETTER;$NEWHOLDER$ was given a seat in the [GetConclaveName].;$NEWHOLDER$ a reçu un siège au Collège des cardinaux.;$NEWHOLDER$ wurde ins Kardinalskollegium berufen.;;$NEWHOLDER$ ha obtenido un asiento en el Colegio Cardenalicio.;;;;;;;;;x
TITLE_GAINED_RELIGIOUS_LOG;$NEWHOLDER$ was given a seat in the [GetConclaveName].;$NEWHOLDER$ a reçu un siège au Collège des cardinaux.;$NEWHOLDER$ wurde ins Kardinalskollegium berufen.;;$NEWHOLDER$ ha obtenido un asiento en el Colegio Cardenalicio.;;;;;;;;;x

ROADMEN;Roadmen;;;;;;;;;;;;;x
PRIEST_PLURAL;[This.GetPriest]s;;;;;;;;;;;;;x
monetarist_opinion;[monetarist.GetName] Opinion;;;;;;;;;;;;;x
CRUSADE_DESC_IRO;A $CRUSADE$ has been declared to reclaim all parts of the §Y$TITLE$§! held by §Y$ENEMY$§!.;Sa Sainteté le §Y$POPE$§! a lancé une $CRUSADE$ pour reconquérir toutes les terres du §Y$TITLE$§! détenues par §Y$ENEMY$§!.;Seine Heiligkeit, §Y$POPE$§! hat einen $CRUSADE$ ausgerufen, um alle Besitztümer des Titels §Y"$TITLE$"§!, die §Y$ENEMY$§! innehat, zurückzufordern.;;Su santidad, §Y$POPE$§! ha declarado una $CRUSADE$ para reclamar todas las partes del §Y$TITLE$§! en poder de §Y$ENEMY$§!.;;;;;;;;;x
CRUSADE_DESC_NOT_STARTED;A $CRUSADE$ has been declared a to reclaim all parts of the §Y$TITLE$§! held by §Y$ENEMY$§!.;Sa Sainteté, §Y$POPE$§! a déclaré une $CRUSADE$ pour reconquérir les terres du §Y$TITLE$§! détenues par §Y$ENEMY$§!;Seine Heiligkeit, §Y$POPE$§!, hat einen $CRUSADE$ deklariert, um alle Teile von §Y$TITLE$§!, die von §Y$ENEMY$§! gehalten werden, zurückzufordern;;Su Santidad, §Y$POPE$§! ha proclamado una $CRUSADE$ para reclamar todas las partes de §Y$TITLE$§! en posesión de §Y$ENEMY$§!;;;;;;;;;x
new_crusade_win_TT;The Crusaders will take all the land in the targeted title held by §Y[From.Religion.GetName]§! rulers;Les croisés prendront toutes les terres du titre cible détenu par [From.Get_le_TitledNameJ];Die Kreuzritter nehmen alles Land ein, das von §Y[From.GetTitledName]§! gehalten wird;;Los cruzados tomarán toda la tierra del título objetivo que posee §Y[From.GetTitledName]§!;;;;;x

REL_INVESTITURE_DESC;$NAME$ priests may pay tax to the religious head rather than their secular liege;Les évêques de religion $NAME$ peuvent payer leurs impôts auprès du pape au détriment de leur souverain séculier;$NAME$e Bischöfe können beschließen, die Steuern dem Papst statt dem weltlichen Lehnsherrn zu zahlen.;;Los obispos $NAME$ pueden pagar el impuesto al Papa, en lugar de a su señor secular;;;;;;;;;x
REL_PRIESTS_INHERIT_DESC;Priests (Temple holders) can inherit titles;Les religieux terriens peuvent hériter de titres;Priester (Eigentümer der Tempel) können Titel erben;;Los sacerdotes (titulares de templo) pueden heredar títulos;;;;;;;;;x
REL_PRIESTS_MARRY_DESC;Priests (Temple holders) can marry;Les religieux peuvent se marier;Priester dürfen heiraten;;Los sacerdotes pueden casarse;;;;;;;;;x

EVTDESCHFA20207;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] show [Root.GetHerHisCap] devotion by allowing one of [Root.GetHerHisCap] [son_holyorder_candidate.GetSonDaughter]s to do [son_holyorder_candidate.GetHerHis] part in the sacred war against the infidels by joining the [son_holyorder_host.PrimaryTitle.GetFullName].\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTBHF20207;I will not risk my [son_holyorder_candidate.GetSonDaughter]'s life for a crown.;;;;;;;;;;;;;x

EVTDESCAFI213;To the Just [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s inauguration, provided that [Root.GetHerHisCap] [Root.GetHonorific] show [Root.GetHerHisCap] patriotism by allowing one of [Root.GetHerHisCap] [son_holyorder_candidate.GetSonDaughter]s to do [son_holyorder_candidate.GetHerHis] part in the struggle to preserve America by joining [son_holyorder_host.PrimaryTitle.GetFullName].\n\nSincerely,\n[From.GetTitledName];;;;;;;;;;;;;x
SHOW_COLLEGE_OF_CARDINALS;[Root.GetConclaveName];Le Collège des cardinaux;Kardinalskollegium;;El Colegio de Cardenales;;;;;;;;;x

# Libertarians
d_libertarian;Order of Our Lady Liberty;;;;;;;;;;;;;x
String_Temple;[This.GetHouseOfWorshipCap];Temple;Tempel;;Templo;;;;;;;;;x
String_temple;[This.GetHouseOfWorship];e temple;Tempel;;templo;;;;;;;;;x
monastic_order_libertarian;The Order of Our Lady Liberty;;;;;;;;;;;;;x
monastic_order_libertarian_desc;The Order of Our Lady Liberty is one of the most ancient and respected Americanist orders. What started as a small group of women dedicated to preservation and protection of the Statue of Liberty, grew into its own splinter faith, diverging from the Americanist mainstream. The First Lady of the Order is overall responsible for all Libertarians, and all sanctioned Libertarian preachers are members of the Order.;;;;;;;;;;;;;x
monastic_order_libertarian_leader;First Lady;;;;;;;;;;;;;x
monastic_order_libertarian_leader_desc;[d_libertarian.Holder.GetTitle];;;;;;;;;;;;;x
monastic_order_libertarian_rank_1_female;Follower;;;;;;;;;;;;;x
monastic_order_libertarian_rank_2_female;Sister;;;;;;;;;;;;;x
monastic_order_libertarian_rank_3_female;Vestalis;;;;;;;;;;;;;x
monastic_order_libertarian_rank_4_female;Vestalis Maxima;;;;;;;;;;;;;x
monastic_order_libertarian_rank_1_male;Follower;;;;;;;;;;;;;x
monastic_order_libertarian_rank_2_male;Brother;;;;;;;;;;;;;x
monastic_order_libertarian_rank_3_male;Vestalis;;;;;;;;;;;;;x
monastic_order_libertarian_rank_4_male;Vestalis Maximus;;;;;;;;;;;;;x
currency_name_monastic_order_libertarian;Devotion;;;;;;;;;;;;;x

TT_CORONATION_RELIGIOUS_HEAD_POPE;A [Root.GetProperReligiousHead] exists;;;;;;;;;;;;;x
TT_CORONATION_VASSAL_PRIEST;A suitable vassal [Root.GetPriest] is available to perform the ceremony;Un évêque vassal est disponible pour célébrer la cérémonie;Ein Vasallen-Bischof ist verfügbar, der die Zeremonie durchführt;;Hay un obispo vasallo disponible para realizar la ceremonia;;;;;;;;x
EVTDESCBAFI5;To the Liberal [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s inauguration, provided that [Root.GetHerHisCap] [Root.GetHonorific] donates a sizable sum of money to the Order of Our Lady Liberty as a show of [Root.GetHerHisCap] devotion.\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];;;;;;;;;;;;;x

LIEGE_IS_JAIN;Liege is Pacifist;;;;;;;;;;;;;x

EVTDESC_MNM_ATEWWW_10;[Root.GetMOGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nThe Order and [Root.Religion.GetHighGodName] cares much for the souls of our members. As such we would like to advise you to go on a pilgrimage, since you have not yet done so.\n\n[Root.GetMOFarewell],\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
EVTDESC_MNM_ATEWWW_13;[Root.GetMOGreeting] [Root.GetSocietyRank] [Root.GetFirstName].\n\nWe are glad to hear that you have performed a pilgrimage in the name of [Root.Religion.GetHighGodName].\nSigned [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
quest_monastic_order_pilgrimage_americanist;Go on an Americanist Pilgrimage;;;;;;;;;;;;;x
quest_monastic_order_pilgrimage_americanist_desc;You must perform a patriotic pilgrimage to reflect upon the greatness of [Root.Religion.GetHighGodNameCap]. This spiritual journey will help you reflect upon yourself and increase your standing with the order.;;;;;;;;;;;;;x
quest_monastic_order_pilgrimage_americanist_tooltip;To complete this mission, activate the decision §Y'[Root.Religion.GetName] Pilgrimage'§! in the Intrigue menu and successfully complete the pilgrimage.;;;;;;;;;;;;;x

donate_castle_to_society_holy_order;Donate Castle to [From.Society.GrandMaster.PrimaryTitle.GetName];;;;;;;;;;;;;x
donate_castle_to_society_holy_order_tt;Donate [Root.GetName] to [From.Society.GrandMaster.PrimaryTitle.GetName].;;;;;;;;;;;;;x
donate_castle_to_society_holy_order_desc; ;;;;;;;;;;;;;x
EVTDESC_MNM_ATEWWW_14;[Root.GetMOGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nThe [From.PrimaryTitle.GetFullBaseName] is in need of more castles in order to train troops and generate a supporting income. Therefore we ask of you to donate any of the castles in your demesne - either existing or yet to be constructed.\n\n[Root.GetMOFarewell],\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
EVTDESC_MNM_ATEWWW_17;Blessed [Root.GetSocietyRank] [Root.GetFirstName].\n\nWe are grateful for your help in providing for [From.PrimaryTitle.GetName]. This new fortress will be a great boon to us in our task to carry out the will of [Root.Religion.GetHighGodNameCap].\nSigned [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x

monastic_orders_donate_castle;Donate a Castle to [Root.Society.GrandMaster.PrimaryTitle.GetName];;;;;;;;;;;;x
monastic_orders_donate_castle_desc;The [Root.Society.GrandMaster.GetSocietyRank] has requested that you donate a castle to [Root.Society.GrandMaster.PrimaryTitle.GetName]. This would allow the Holy Order to serve [Root.Religion.GetHighGodNameCap] better - and doing this would greatly increase your standing in [Root.Society.GetName].;;;;;;;;;;;;x
monastic_orders_donate_castle_tooltip;To complete this mission, activate the Special Title Action §Y'Donate a Castle'§! on any allowed castle holding. You may also build a new castle and donate it.;;;;;;;;;;;;x

EVTDESC_MNM_ATEWWW_18_RESTORE;[Root.GetMOGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nThe grand statue of our Lady has been pillaged and desecrated by vile bandits! As the enlightening visage of Lady Liberty falls under your demesne, it is your duty to spare no expense to restore her to her previous state.\n\n[Root.GetMOFarewell],\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
EVTDESC_MNM_ATEWWW_18_UPGRADE;[Root.GetMOGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nOne of our sisters has came up with plans to restore parts of Lady Liberty that have been lost or damaged in the unrest following the Calamity. As the enlightening visage of Lady Liberty falls under your demesne, it is your duty to spare no expense to restore her to her former glory.\n\n[Root.GetMOFarewell],\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
EVTDESC_MNM_ATEWWW_21;Just [Root.GetSocietyRank] [Root.GetFirstName].\n\nWe are eternally grateful for your part in caring for our Lady. She will surely light your way and bless you with her wisdom in reward.\nSigned [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x

EVTDESC_MNM_ATEWWW_222_LIBERTARIAN;To damnable [Root.GetTitledFirstName], servant of [Root.Religion.GetRandomEvilGodName]\nBy desecrating our holy Lady Liberty, you have commited a grave sin that will forever haunt you! As of now, you are an enemy of all patriotic Libertarians. May you burn in agnoy, and your possessions turn to ash!\n\nWith anger and sadness,\n\n[From.GetTitledFirstName];;;;;;;;;;;;;x
EVTDESC_MNM_ATEWWW_222;To damnable [Root.GetTitledFirstName]\nBy desecrating our holy Lady Liberty, you have made yourself an enemy of all upstanding Libertarians. May you feel her righteous wrath soon.\n\nWith anger and sadness,\n\n[From.GetTitledFirstName];;;;;;;;;;;;;x
EVTOPTA_MNM_ATEWWW_222;I do as I please, [From.GetTitle].;;;;;;;;;;;;;x

EVTDESC_MNM_ATEWWW_24;To [Root.GetSocietyRank] [Root.GetFirstName]\nI have recieved the news of you losing the domain surrounding our Lady with great saddness. In light of this, I must consider your task of caring for the Lady failed.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x

statue_of_liberty_upgraded;Lady Liberty Upgraded;;;;;;;;;;;;;x
statue_of_liberty_looted;Lady Liberty Looted;;;;;;;;;;;;;x
statue_of_liberty_restored;Lady Liberty Restored;;;;;;;;;;;;;x

upgraded_lady_liberty;Cared for Lady Liberty;;;;;;;;;;;;;x
looted_lady_liberty;Looted Lady Liberty;;;;;;;;;;;;;x

monastic_orders_restore_statue_of_liberty;Restore Lady Liberty;;;;;;;;;;;;x
monastic_orders_restore_statue_of_liberty_desc;Lady Liberty has been pillaged by servants of [Root.Religion.GetRandomEvilGodName]. The [Root.Society.GrandMaster.GetSocietyRank] has asked you to restore her to her former glory, as the Lady lies in your demesne.;;;;;;;;;;;;x
monastic_orders_restore_statue_of_liberty_tooltip;To complete this mission, §Yrestore§! the Great Work of §Y'Lady Liberty'§! in §Y[c_palisades.GetName]§!.\nLosing control over the Great Work will fail the mission.;;;;;;;;;;;;x

monastic_orders_upgrade_statue_of_liberty;Build a next stage of Lady Liberty;;;;;;;;;;;;x
monastic_orders_upgrade_statue_of_liberty_desc;Lady Liberty needs to be restored to her ancient form. The [Root.Society.GrandMaster.GetSocietyRank] has tasked you with overseeing the construction, as the Lady lies in your demesne.;;;;;;;;;;;;x
monastic_orders_upgrade_statue_of_liberty_tooltip;To complete this mission, §Ybuild next stage§! of the Great Work of §Y'Lady Liberty'§! in §Y[c_palisades.GetName]§!.\nLosing control over the Great Work will fail the mission.;;;;;;;;;;;;x

EVTOPTC_MNM_4610_bust;Start planning the theft of the §YMarble Bust§!!;;;;;;;;;;;;;x
